FID,AlternateID,BAM,Species ,Field_Sex,Bioinformartic_Sex,PCR_Sex,Confirmed_Sex,Covariate,Collection_Date ,Field_Labeled_Age,Binary_Age_Fcatalog,Covariate_code,Main_Site,local_Site,Lek,UTM_Zone,GPS,Wing,Wing_round,Wing_round_outlierremoved,Tail,Tail_round,Tail_round_outlierremoved,Pinnae,Pinnae_round,,Comb_Height,Comb_Height_round,Comb_Length,Comb_length_round,Comb_area,Comb_area_outlierremoved,Total Head Length,Head_round,Head_round_outlierremoved,Culmen,Culmen_round,Culmen_round_outlierremoved,Tarsus_toe_length,Tarsus_round,Tarsus_round_outlierremoved,Mass,Mass_round,Mass_round_outlierremoved,Field_Notes,AJM_Notes
F393,25RH13-A,,T_pallidicinctus,F,heteromorphic,,F,,3/21/2013,SY,A,,RH,RH,MIDDLE,,"37.3624456749813,-99.0674632103397",199,199,199,77,77,77,33,33,33,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59,59,59,14,14,14,NA,#VALUE!,NA,680,680,680,Processed- 7:50am. Bird flew off,
F394,26RH13-A,,T_pallidicinctus,F,heteromorphic,,F,,3/21/2013,SY,A,,RH,RH,MIDDLE,,"37.3624456749813,-99.0674632103397",220,220,220,56,56,NA,28,28,28,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,55,55,55,14,14,14,52,52,52,635,635,635,Processed- 7:50am. Bird flew off,
F423,31NW13,,T_pallidicinctus,F,heteromorphic,,F,,4/2/2013,SY,A,,NW,SVR,MCDANIEL 1,,"38.7508587508972,-101.07503538748",214,214,214,74,74,74,24.5,25,25,2.02,2,18.64,19,38,38,58.5,59,59,17.81,18,NA,44.72,45,45,715,715,715,,"Field sex does not correspond between LEPC data, Blacks metadata and recapture data"
F426,69NW13,,T_pallidicinctus,F ,heteromorphic,,F,,4/3/2013,ASY,A,,NW,SVR,MCDANIEL 1,,"38.7508587508972,-101.07503538748",218,218,218,71,71,71,38,38,38,2.28,2,15.26,15,30,30,63.61,64,64,14.94,15,15,45.6,46,46,820,820,820,with another FEMALE in trap,
F430,161NW13,,T_pallidicinctus,M,heteromorphic,Female,F,,4/4/2013,SY,A,,NW,GOVE,SHARP,,"38.8638101286339,-100.744713250039",223,223,223,86,86,86,62,62,NA,11,11,26.6,27,297,NA,61.6,62,62,14.2,14,14,46.5,47,47,800,800,800,,
F435,08RH13,,T_pallidicinctus,F ,heteromorphic,,F,,4/6/2013,SY,A,,RH,RH,EAST 2,,"37.3556740933454,-99.0541215474332",198,198,198,79,79,79,23,23,23,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,54,54,54,12,12,12,48,48,48,600,600,600,Bird flew off,
F436,03RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/6/2013,ASY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",207,207,207,80,80,80,32,32,32,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59,59,59,13,13,13,52,52,52,701,700,700,Processed- 7:45. Bird Flew off,
F440,28RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/7/2013,SY,A,,RH,RH,MIDDLE,,"37.3624456749813,-99.0674632103397",198,198,198,75,75,75,29,29,29,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,53,53,53,10,10,10,50,50,50,755,755,755,Bird flew off,
F446,14RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/8/2013,ASY,A,,RH,RH,MIDDLE,,"37.3624456749813,-99.0674632103397",198,198,198,84,84,84,22,22,22,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,56,56,56,13,13,13,50,50,50,760,760,760,Processed- 7:44,
F447,30NW13,,T_pallidicinctus,F ,heteromorphic,,F,,4/8/2013,SY,A,,NW,SVR,PRAIRIE DOG,,"38.8904817664732,-100.954001791402",205,205,205,58,58,58,26,26,26,3.09,3,19.08,19,57,57,62.55,63,63,12.73,13,13,47.37,47,47,675,675,675,,
F448,32NW13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/8/2013,SY,A,,NW,SVR,PRAIRIE DOG,,"38.8904817664732,-100.954001791402",194,194,194,84,84,84,31,31,31,2.94,3,16.63,17,51,51,57.5,58,58,11.71,12,12,42.14,42,42,650,650,650,did not fly away well,
F449,65NW13,,T_pallidicinctus,F ,heteromorphic,Female,F,,4/8/2013,SY,A,,NW,GOVE,FLEMING 1,,"38.780945550275,-100.661790130005",209,209,209,87,87,87,40,40,40,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59.7,60,60,15.7,16,16,49.9,50,50,754,755,755,,
F452,10RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2013,SY,A,,RH,RH,EAST 2,,"37.3556740933454,-99.0541215474332",202,202,202,83,83,83,20,20,20,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,57,57,57,14,14,14,NA,#VALUE!,NA,645,645,645,,
F453,07RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2013,SY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",197,197,197,75,75,75,30,30,30,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,59,59,59,14,14,14,50,50,50,645,645,645,,
F454,06RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2013,SY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",193,193,193,82,82,82,27,27,27,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,53,53,53,13,13,13,47,47,47,720,720,720,,
F456,24RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/11/2013,ASY,A,,RH,RH,EAST 2,,"37.3556740933454,-99.0541215474332",208,208,208,85,85,85,23,23,23,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,60,60,60,13,13,13,50,50,50,710,710,710,,
F459,57NW13,,T_pallidicinctus,F ,heteromorphic,,F,,4/12/2013,AHY,J,,NW,SVR,PRAIRIE DOG,,"38.8904817664732,-100.954001791402",NA,#VALUE!,NA,93,93,93,NA,#VALUE!,NA,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,NA,#VALUE!,#VALUE!,NA,#VALUE!,NA,NA,#VALUE!,NA,805,805,805,released early due to stress,
F460,70NW13,,T_pallidicinctus,F ,heteromorphic,,F,,4/12/2013,SY,A,,NW,SVR,PRAIRIE DOG,,"38.8904817664732,-100.954001791402",204,204,204,74,74,74,28,28,28,3.47,3,18.17,18,54,54,59.91,60,60,13.94,14,14,44.65,45,45,715,715,715,,
F467,12RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/15/2013,SY,A,,RH,RH,MIDDLE,,"37.3624456749813,-99.0674632103397",193,193,193,88,88,88,28,28,28,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,53,53,53,12,12,12,53,53,53,760,760,760,Bird Processed at 8:55am,
F468,04RH13-A,,T_pallidicinctus,F ,heteromorphic,,F,,4/15/2013,SY,A,,RH,RH,LIEBL,,"37.3670771979917,-99.0840462091398",195,195,195,79,79,79,28,28,28,NA,#VALUE!,NA,#VALUE!,#VALUE!,NA,54,54,54,12,12,12,51,51,51,725,725,725,,
